setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,variant,sexe,grup_edat,index_socioeconomic,recompte
23,2022,06/06/2022,12/06/2022,64,Girona,64,Girona,Omicron (BA.5),Dona,80 o més,4,1
45,2021,08/11/2021,14/11/2021,67,Catalunya Central,67,Catalunya Central,Delta (B.1.617.2),Dona,10 a 14,2,1
7,2023,13/02/2023,19/02/2023,62,Camp de Tarragona,62,Camp de Tarragona,Omicron (BQ.1),Home,80 o més,2,1
33,2021,16/08/2021,22/08/2021,64,Girona,64,Girona,Delta (B.1.617.2),Home,50 a 54,4,2
18,2021,03/05/2021,09/05/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Gamma (P.1),Home,45 a 49,3,2
25,2023,19/06/2023,25/06/2023,70,Penedès,70,Penedès,Omicron (XBB.2),Dona,60 a 64,3,1
25,2023,19/06/2023,25/06/2023,62,Camp de Tarragona,62,Camp de Tarragona,Omicron (XBB.1),Home,45 a 49,2,1
48,2021,29/11/2021,05/12/2021,64,Girona,64,Girona,Delta (B.1.617.2),Home,65 a 69,3,1
28,2023,10/07/2023,16/07/2023,61,Lleida,61,Lleida,Omicron (XBB.1),Home,75 a 79,3,1
36,2022,05/09/2022,11/09/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.2),Dona,75 a 79,2,1
51,2022,19/12/2022,25/12/2022,67,Catalunya Central,67,Catalunya Central,Omicron (BQ.1),Home,65 a 69,3,1
42,2022,17/10/2022,23/10/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BQ.1),Dona,45 a 49,4,1
32,2022,08/08/2022,14/08/2022,61,Lleida,61,Lleida,Omicron (BA.5),Dona,30 a 34,3,1
20,2022,16/05/2022,22/05/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.2),Home,75 a 79,3,3
